korean,category_guess,source_sentence,is_registered,matched_glossary_term,note
확인서,제출,전입생은 등본과 예방접종 확인서를 내 주세요,Y,예방접종; 확인서,기존 사전 용어
서류,제출,전입생 서류는 주민등록등본과 예방접종 확인서입니다,N,예방접종; 확인서,preferred_vi 입력 필요
예방접종 확인서입니다,제출,전입생 서류는 주민등록등본과 예방접종 확인서입니다,N,예방접종; 확인서,preferred_vi 입력 필요
예방접종확인서입니다,제출,전입생 서류는 주민등록등본과 예방접종 확인서입니다,N,예방접종; 확인서,preferred_vi 입력 필요
주민등록등본 예방접종 확인서입니다,제출,전입생 서류는 주민등록등본과 예방접종 확인서입니다,N,예방접종; 확인서,preferred_vi 입력 필요
주민등록등본예방접종확인서입니다,제출,전입생 서류는 주민등록등본과 예방접종 확인서입니다,N,예방접종; 확인서,preferred_vi 입력 필요
확인서입니다,제출,전입생 서류는 주민등록등본과 예방접종 확인서입니다,N,예방접종; 확인서,preferred_vi 입력 필요
교육,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
교육 자료,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
교육 자료 함께,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
교육자료,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
교육자료함께,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
양성평등,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
양성평등 교육,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
양성평등 교육 자료,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
양성평등교육,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
양성평등교육자료,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료 함께,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료 함께 확인해,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료함께,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
자료함께확인해,기타,양성평등 교육 자료를 함께 확인해 주세요,N,,preferred_vi 입력 필요
교육 자료 가정,기타,양성평등 교육 자료를 가정에서 함께 확인해 주세요,N,,preferred_vi 입력 필요
